,Pearson Correlation
foraging_score,0.08268365404379814
Foraging,0.0738023508453068
Eating,0.04057200195262038
total_squirrels,0.03531327336108446
conditions_enc,0.018993524307761037
Chasing,0.028041272270938798
Tail twitches,-0.020865504173641997
has_threat,-0.0193888361328753
Tail flags,-0.04005497525934833
alert_score,-0.039158899622103845
Quaas,-0.005488482277785433
Moans,-0.03192975585850463
shift_numeric,-0.026392162552379625
Kuks,-0.035827688727288164
vocal_score,-0.033588437089419866
Climbing,-0.058396674804321064
X,-0.12509530457354215
active_score,-0.1191690764391373
Running,-0.1419765361707821
Y,-0.14427036673616922
